CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50087188.0,OJBK,Brooklyn,11205.0,40.69367622,-73.96363954,Coffee/Tea,13.0,A,2022-07-27
41506131.0,IL PUNTO RISTORANTE,Manhattan,,0.0,0.0,Italian,2.0,A,2023-03-06
50034342.0,CHINA DOLL,Brooklyn,11208.0,40.66734718,-73.87082961,Chinese,10.0,A,2022-03-21
41637082.0,NUTRIPAN COLOMBIAN BAKERY,Queens,11373.0,40.73712207,-73.86602806,Latin American,12.0,A,2022-11-17
50036869.0,PAK LAHORI CHILLI,Brooklyn,11230.0,40.63265256,-73.96689382,Indian,5.0,A,2022-01-24
50103070.0,SUSHI YOU GARDEN,Queens,11364.0,40.74058412,-73.75906723,Japanese,12.0,A,2022-03-01
50062884.0,MEKONG BK,Brooklyn,11205.0,40.68945084,-73.96894971,Southeast Asian,13.0,A,2022-09-07
50126177.0,K! CHULA,Brooklyn,11204.0,40.6147058,-73.98775737,Mexican,13.0,A,2022-09-13
50116177.0,UNCLE LUO YANG,Manhattan,10024.0,40.78995145,-73.9733699,Chinese,2.0,P,2022-06-07
50002693.0,B&W DELI GROCERY,Manhattan,10001.0,40.75298533,-73.99534756,American,12.0,A,2022-11-29
50119974.0,MCDONALD'S RESTAURANT,Manhattan,10001.0,40.75050916,-73.98947917,American,0.0,A,2022-07-26
50074096.0,MARA'S GOURMET ICE CREAM PARLOR & ITALIAN ICES,Queens,11693.0,40.58634171,-73.81572584,Frozen Desserts,12.0,A,2022-06-23
50079359.0,DIVE BAR LIC,Queens,11106.0,40.75573777,-73.92797987,Spanish,5.0,A,2023-02-09
50008831.0,RALPH'S FAMOUS ITALIAN ICES,Queens,11379.0,40.71274392,-73.87918565,Frozen Desserts,2.0,A,2022-07-11
50105484.0,OSAKA JAPANESE CUISINE,Brooklyn,11231.0,40.68480802,-73.99472856,Japanese,9.0,A,2022-05-06
41460032.0,BALADE,Manhattan,10009.0,40.7303454,-73.98327642,Mediterranean,27.0,Z,2023-01-30
50118900.0,MIKEY POMODORO,Manhattan,10169.0,40.75450075,-73.97595043,Italian,8.0,A,2022-04-26
41169770.0,DUNKIN,Brooklyn,11210.0,40.62907731,-73.94798909,Donuts,8.0,A,2022-01-31
40364389.0,OLD TOWN BAR & RESTAURANT,Manhattan,10003.0,40.73759507,-73.98964721,American,13.0,A,2022-07-20
50016792.0,RIB N0.7,Manhattan,10001.0,40.74832676,-73.98640818,Seafood,13.0,A,2023-01-31
50012532.0,KRUSH,Manhattan,10001.0,40.74730839,-73.98590313,American,10.0,A,2022-12-14
40425021.0,BAGEL BAZAAR,Brooklyn,11214.0,40.60177833,-73.99356117,Bagels/Pretzels,7.0,A,2022-02-04
50089009.0,34th BAGELS AND MORE,Manhattan,10001.0,40.7529167,-73.99518515,Bagels/Pretzels,0.0,A,2022-07-07
